Name,Artist,Genre,Year,Date Added,Last Played,Plays
Down Under,Men At Work,Rock,1981,"9/16/18, 8:32 PM","2/26/20, 2:37 PM",34
Killer Queen,Queen,Rock,1974,"4/3/19, 11:04 AM","6/25/20, 11:43 AM",34
Hold the Line,Toto,Rock,1978,"7/21/17, 8:06 PM","4/3/20, 6:27 PM",34
I Found You,Alabama Shakes,Alternative,2012,"7/14/18, 9:42 PM","3/1/20, 12:46 PM",32
Forever Young,Bob Dylan,Rock,1974,"1/31/17, 9:38 PM","2/28/20, 7:28 PM",32
Take Me to Church,Hozier,Alternative,2014,"1/2/15, 11:27 PM","10/25/19, 12:35 PM",32
Better Together,Jack Johnson,Rock,2005,"9/3/18, 10:38 PM","8/2/20, 5:24 PM",32
Spiderwebs,No Doubt,Pop,1995,"3/28/18, 8:51 PM","11/28/19, 4:31 PM",31
Above the Clouds,Gang Starr,Hip-Hop/Rap,1998,"7/16/18, 12:08 AM","3/22/20, 3:27 PM",29
The Wind Cries Mary,The Jimi Hendrix Experience,Rock,1967,"2/15/17, 12:47 AM","3/22/20, 3:34 PM",29
He got game,Public Enemy,,,"8/23/15, 11:13 AM","6/16/20, 3:11 PM",29
Wouldn't It Be Nice,The Beach Boys,Rock,1966,"10/30/18, 10:06 PM","3/22/20, 3:13 PM",28
American Girl,Tom Petty & The Heartbreakers,Rock,1976,"8/8/18, 1:48 PM","7/12/20, 12:44 PM",28
Midnight Rider,The Allman Brothers Band,Rock,1970,"5/8/19, 10:50 PM","8/1/20, 4:57 PM",27
"Hey, Hey, What Can I Do",Led Zeppelin,Rock,2015,"9/28/18, 9:49 PM","2/25/20, 7:51 PM",27
The Spirit of Radio,Rush,Rock,1980,"12/26/18, 3:17 PM","5/9/20, 1:41 PM",27
Lonely (Old Version) [Dirty],Akon,R&B/Soul,2006,"10/9/15, 10:02 AM","11/27/19, 3:07 PM",26
Into the Mystic,Van Morrison,Rock,1970,"4/15/20, 7:45 PM","6/25/20, 7:33 PM",26
American Boy (feat. Kanye West),Estelle,R&B/Soul,2008,"10/24/18, 10:50 AM","2/19/20, 7:38 PM",24
One Headlight,The Wallflowers,Rock,1996,"1/3/20, 4:21 PM","4/22/20, 12:15 PM",24
(You) Got What I Need,Freddie Scott,Pop,1998,"11/16/17, 7:41 PM","2/24/20, 7:48 PM",23
Rasputin,Boney M.,Pop,1978,"9/15/18, 2:36 AM","3/15/20, 12:31 PM",22
End of the Line,The Traveling Wilburys,Rock,1988,"2/26/19, 12:21 AM","2/24/20, 9:04 PM",22
